Fecha,Asiento,Cuenta,Nombre_Cuenta,Tipo_Doc,NIT_Tercero,Razon_Social,Direccion,Dpto,Municipio,Debito,Credito,Concepto
2025-01-15,1001,512010,Arrendamientos Bienes Inmuebles,CC,7173846,ACUÑA DAZA DELIO,Calle 4 # 12-34,15,15001,1500000.00,0.00,Registro arrendamiento - Doc #1001
2025-01-15,1001,236530,Retencion Arrendamientos 3.5%,CC,7173846,ACUÑA DAZA DELIO,Calle 4 # 12-34,15,15001,0.00,52500.00,Retencion arrendamientos 3.5% - Doc #1001
2025-01-20,1002,512010,Arrendamientos Bienes Inmuebles,NIT,900123456,INMOBILIARIA BOYACA S.A.S.,Calle 18 # 11-05,15,15001,2000000.00,0.00,Registro arrendamiento - Doc #1002
2025-01-20,1002,236530,Retencion Arrendamientos 3.5%,NIT,900123456,INMOBILIARIA BOYACA S.A.S.,Calle 18 # 11-05,15,15001,0.00,70000.00,Retencion arrendamientos 3.5% - Doc #1002
2025-02-01,1003,512010,Arrendamientos Bienes Inmuebles,CC,74373834,ALVAREZ PINZON HERNANDO,Calle 6 # 10-45,15,15001,950000.00,0.00,Registro arrendamiento - Doc #1003
2025-02-01,1003,236530,Retencion Arrendamientos 3.5%,CC,74373834,ALVAREZ PINZON HERNANDO,Calle 6 # 10-45,15,15001,0.00,33250.00,Retencion arrendamientos 3.5% - Doc #1003
2025-02-15,1004,512010,Arrendamientos Bienes Inmuebles,CC,79799502,BECERRA CAMARGO OSCAR JAVIER,Carrera 3 # 5-12,15,15001,1200000.00,0.00,Registro arrendamiento - Doc #1004
2025-02-15,1004,236530,Retencion Arrendamientos 3.5%,CC,79799502,BECERRA CAMARGO OSCAR JAVIER,Carrera 3 # 5-12,15,15001,0.00,42000.00,Retencion arrendamientos 3.5% - Doc #1004
2025-03-01,1005,512010,Arrendamientos Bienes Inmuebles,CC,5462976,BASTO MORA LUIS ALFREDO,Calle 1 # 2-15,15,15001,1100000.00,0.00,Registro arrendamiento - Doc #1005
2025-03-01,1005,236530,Retencion Arrendamientos 3.5%,CC,5462976,BASTO MORA LUIS ALFREDO,Calle 1 # 2-15,15,15001,0.00,38500.00,Retencion arrendamientos 3.5% - Doc #1005
2025-03-15,1006,511005,Honorarios Asesoria Juridica,CC,80408400,ALARCON PLAZAS CARLOS ORLANDO,Carrera 5 # 20-10,15,15001,2500000.00,0.00,Registro honorarios - Doc #1006
2025-03-15,1006,236515,Retencion Honorarios 10%,CC,80408400,ALARCON PLAZAS CARLOS ORLANDO,Carrera 5 # 20-10,15,15001,0.00,250000.00,Retencion honorarios 10% - Doc #1006
2025-03-20,1007,511005,Honorarios Asesoria Juridica,CC,80295165,BARRANTES RIAÑO JOSE FRANCISCO,Calle 8 # 14-20,15,15001,3200000.00,0.00,Registro honorarios - Doc #1007
2025-03-20,1007,236515,Retencion Honorarios 10%,CC,80295165,BARRANTES RIAÑO JOSE FRANCISCO,Calle 8 # 14-20,15,15001,0.00,320000.00,Retencion honorarios 10% - Doc #1007
2025-04-01,1008,511010,Honorarios Revisoria Fiscal,NIT,901241681,ARANGUREN Y ASOCIADOS SAS ZOMAC,Carrera 7 # 12-30,15,15001,1800000.00,0.00,Registro honorarios revisoria - Doc #1008
2025-04-01,1008,236515,Retencion Honorarios 10%,NIT,901241681,ARANGUREN Y ASOCIADOS SAS ZOMAC,Carrera 7 # 12-30,15,15001,0.00,180000.00,Retencion honorarios 10% - Doc #1008
2025-04-10,1009,511005,Honorarios Asesoria Juridica,CC,1052345678,JORGE ELIECER SILVA,Diagonal 5 # 10-15,15,15001,1900000.00,0.00,Registro honorarios - Doc #1009
2025-04-10,1009,236515,Retencion Honorarios 10%,CC,1052345678,JORGE ELIECER SILVA,Diagonal 5 # 10-15,15,15001,0.00,190000.00,Retencion honorarios 10% - Doc #1009
2025-04-20,1010,511010,Honorarios Revisoria Fiscal,CC,46453866,BECERRA DIAZ SONIA LILIANA,Carrera 9 # 12-30,15,15001,2100000.00,0.00,Registro honorarios revisoria - Doc #1010
2025-04-20,1010,236515,Retencion Honorarios 10%,CC,46453866,BECERRA DIAZ SONIA LILIANA,Carrera 9 # 12-30,15,15001,0.00,210000.00,Retencion honorarios 10% - Doc #1010
2025-05-02,1011,513550,Servicios de Transporte,NIT,901406244,ARTAX COLOMBIA SAS,Calle 12 # 5-25,11,11001,2300000.00,0.00,Registro servicios transporte - Doc #1011
2025-05-02,1011,236525,Retencion Servicios 4%,NIT,901406244,ARTAX COLOMBIA SAS,Calle 12 # 5-25,11,11001,0.00,92000.00,Retencion servicios 4% - Doc #1011
2025-05-10,1012,513550,Servicios de Transporte,CC,7178295,AUNTA SUAREZ ARCADIO,Calle 9 # 4-12,15,15001,1550000.00,0.00,Registro servicios transporte - Doc #1012
2025-05-10,1012,236525,Retencion Servicios 4%,CC,7178295,AUNTA SUAREZ ARCADIO,Calle 9 # 4-12,15,15001,0.00,62000.00,Retencion servicios 4% - Doc #1012
2025-05-18,1013,513505,Servicios de Aseo y Vigilancia,CC,7219745,ALONSO BECERRA ALVARO DE JESUS,Diagonal 8 # 15-22,15,15001,850000.00,0.00,Registro aseo - Doc #1013
2025-05-18,1013,236525,Retencion Servicios 4%,CC,7219745,ALONSO BECERRA ALVARO DE JESUS,Diagonal 8 # 15-22,15,15001,0.00,34000.00,Retencion servicios 4% - Doc #1013
2025-05-25,1014,513535,Servicios Mantenimiento y Reparacion,CC,91043340,ARDILA ARDILA ARNULFO,Transversal 2 # 8-10,15,15001,670000.00,0.00,Registro mantenimiento - Doc #1014
2025-05-25,1014,236525,Retencion Servicios 4%,CC,91043340,ARDILA ARDILA ARNULFO,Transversal 2 # 8-10,15,15001,0.00,26800.00,Retencion servicios 4% - Doc #1014
2025-06-01,1015,513550,Servicios de Transporte,NIT,900555444,TRANSPORTES EXPRESS BOYACA LTDA,Av Las Villas # 2-10,15,15759,1800000.00,0.00,Registro servicios transporte - Doc #1015
2025-06-01,1015,236525,Retencion Servicios 4%,NIT,900555444,TRANSPORTES EXPRESS BOYACA LTDA,Av Las Villas # 2-10,15,15759,0.00,72000.00,Retencion servicios 4% - Doc #1015
2025-06-10,1016,513505,Servicios de Aseo y Vigilancia,NIT,830111222,ASEO Y SERVICIOS GENERALES SAS,Calle 22 # 5-30,11,11001,620000.00,0.00,Registro aseo - Doc #1016
2025-06-10,1016,236525,Retencion Servicios 4%,NIT,830111222,ASEO Y SERVICIOS GENERALES SAS,Calle 22 # 5-30,11,11001,0.00,24800.00,Retencion servicios 4% - Doc #1016
2025-06-20,1017,513550,Servicios de Transporte,NIT,901301935,AVANCE MC SAS,Carrera 11 # 6-30,15,15001,2800000.00,0.00,Registro servicios transporte - Doc #1017
2025-06-20,1017,236525,Retencion Servicios 4%,NIT,901301935,AVANCE MC SAS,Carrera 11 # 6-30,15,15001,0.00,112000.00,Retencion servicios 4% - Doc #1017
2025-07-01,1018,513535,Servicios Mantenimiento y Reparacion,NIT,900123456,SISTEMAS Y SOLUCIONES SAS,Carrera 10 # 20-30,15,15001,890000.00,0.00,Registro mantenimiento - Doc #1018
2025-07-01,1018,236525,Retencion Servicios 4%,NIT,900123456,SISTEMAS Y SOLUCIONES SAS,Carrera 10 # 20-30,15,15001,0.00,35600.00,Retencion servicios 4% - Doc #1018
2025-07-15,1019,513550,Servicios de Transporte,NIT,901783159,BECO LOGISTICA SAS,Av 2 # 3-10,15,15001,710000.00,0.00,Registro servicios transporte - Doc #1019
2025-07-15,1019,236525,Retencion Servicios 4%,NIT,901783159,BECO LOGISTICA SAS,Av 2 # 3-10,15,15001,0.00,28400.00,Retencion servicios 4% - Doc #1019
2025-08-01,1020,513550,Servicios de Transporte,NIT,900555444,TRANSPORTES EXPRESS BOYACA LTDA,Av Las Villas # 2-10,15,15759,1800000.00,0.00,Registro servicios 2.5% - Doc #1020
